ID,GovWin ID,NAME,Portfolio,Capture Lead,Business Unit,Include in Moneyball,Expected RFP Release,i3 Role,Stage,Prime Contractor,Total Value,Our Value,Win Probability,Must Win,Status,Actual RFP Release,Award Date,BD_Sales Lead,Competition Type,Complexity,Contract Type,Contract Vehicle,Contracts POC,Customer Type,Estimated Start Date,Modified By,Moneyball,NAICS,Opportunity Type,Primary Agency,Prime POC,Prime POC Email,Proposal or EWP Due,Proposals POC,RFI or IWP,TA completed,Submission Date,Estimated Completion Date,Contract Period Months,Weighted Value,Solicitation #,Solicitation Date,Technical POC,CPEG,Modified
"456","175366","DIA SITE III (sub to Leidos)","TADSS","Grady, Stephen","ITFS","no","7/6/2020","SUB","WON","Leidos Inc","$12,000,000,000.00","$1.00","50%","No","​Key hire slot","7/6/2020","3/2/2021",,"F&O","Moderate","CPFF","DIASITEIII",,"NB","3/2/2021","william.glover@i3-corps.com",,"541519","Formal","DOD",,,"9/28/2020",,,,"8/26/2020","3/2/2031","120","$1",,,,"Expand","2023-04-28T14:49:36Z"
"457","174629","CECOM WWFSS C4ISR","ESI","Rabb, Kelly","AELS","no","7/15/2020","SUB","LOST","ManTech","$900,000,000.00","$75,000,000.00","50%","No",,"7/13/2020","4/7/2021",,"F&O","Moderate",,"STANDALONE",,"RC","1/30/2021","william.glover@i3-corps.com",,"541990",,"Army",,,"9/3/2020",,,,"9/1/2020","1/30/2026","60","$37,500,000",,,,"Expand","2023-04-28T14:40:43Z"
"458","164287","Seaport NXT On Ramp","CORP","Watts, Rick","CORP","no","1/10/2021","PRIME","WON","i3","$21,000,000,000.00","$0.00","75%","No",,,"7/14/2021",,"F&O","Straightforward","IDIQ","SEAPORTNXG",,"RC","7/30/2021","william.glover@i3-corps.com",,"54133",,"DOD",,,"2/10/2021",,,"Yes","2/10/2021","7/30/2031","120","$0",,,,"Protect","2023-04-28T14:49:47Z"
"459",,"STORM Technical (FKA Precision Fires) - EXPRESS","ESI","Mitchell, Ben","SET","no","5/11/2022","SUB","LOST","SIMTECH","$50,000,000.00","$2,500,000.00","30%","No","update: awarded 7 Mar; SimTech lost to S3.
Award estimated for end of Feb 2023.","5/11/2022","3/7/2023","hannis.watts@i3-corps.com","F&O","Moderate","TASKORDER","AMCOM",,"NB","3/15/2023","hannis.watts@i3-corps.com",,"TBD","Formal","Army",,,"6/13/2022",,"10/20/2021","Yes","6/13/2022","3/15/2028","60","$750,000",,,,"Grow","2023-03-10T00:41:19Z"
"460",,"PM UAS Technical - EXPRESS","ESI","Watts, Rick","AELS","no","4/26/2022","PRIME","WON","i3","$73,123,244.98","$73,123,244.98","40%","Yes","What re-compete capture have you done?

Need to add recompete in the pipeline ","4/26/2022","9/15/2022","hannis.watts@i3-corps.com","F&O","Difficult","T&M","EXPRESS",,"NB","10/17/2022","hannis.watts@i3-corps.com",,"541330","Formal","Army",,,"5/31/2022",,"10/21/2021","Yes","5/31/2022","10/17/2027","60","$29,249,298",,,,"Protect","2023-03-14T20:15:53Z"
"461","121180","Agency Information Management and Software Services (AIMSS) fka MDDC","CREWS","Garstang, Brian","ITCE","yes","11/1/2023","PRIME","CAPTURE","i3","$300,000,000.00","$300,000,000.00","30%","Yes","TAs in progress.  one-year extension completed in Nov 22 to the current contract.",,,"hannis.watts@i3-corps.com","SBSA","Difficult","T&M","STANDALONE",,"NB","6/19/2024","hannis.watts@i3-corps.com",,"541715","Formal","MDA",,,"12/1/2023","katie.elich@i3-corps.com","1/3/2022","Planning",,"6/19/2034","120","$90,000,000","HQ085722R0001",,,"Grow","2023-01-25T15:23:19Z"
"462",,"AvMC B&A EXPRESS","CREWS","Stone, Tim","ITCE","no","7/16/2021","SUB","WON","Canvas Inc","$150,000,000.00","$2,500,000.00","75%","No","RFP is out - due 16 Aug",,"1/13/2022","hannis.watts@i3-corps.com","SBSA","Straightforward","TASKORDER","EXPRESS",,"RC","11/12/2021","william.glover@i3-corps.com",,"541611",,"Army",,,"8/16/2021",,,"Yes","8/16/2021","11/12/2026","60","$1,875,000",,,,"Protect","2023-04-28T14:49:47Z"
"463","182554","HITS-U2","CREWS","King, David","ITCE","no","4/1/2021","SUB","LOST","SAIC","$720,000,000.00","$1,000,000.00","75%","No","BAE won","2/19/2021","6/21/2022",,"F&O","Moderate","SINGLE AWA","FEDSIM",,"RC","11/1/2021","william.glover@i3-corps.com",,"TBD",,"Army",,,"3/13/2021",,,,"3/13/2021","11/1/2026","60","$750,000",,,,"Grow","2023-04-28T14:40:32Z"
"464",,"IAC MAC UAS - ICAS","ESI","Watts, Rick","AELS","no","12/17/2020","SUB","LOST","KBR Wyle Services, LLC","$94,384,000.00","$1,500,000.00","75%","No","KBR lost to Alion.","12/17/2020","6/4/2021",,"F&O","Straightforward","CPFF","IAC MAC",,"RC","8/20/2021","william.glover@i3-corps.com",,"541715",,"Army",,,"1/15/2021",,,"Yes","1/29/2021","8/20/2026","60","$1,125,000",,,,"Grow","2023-04-28T14:40:50Z"
"465","166985","RCCTO BAA SkyRange","SMS","Grady, Stephen","ITFS","no","8/31/2020","PRIME","WON","i3","$150,000,000.00","$150,000,000.00","100%","Yes","Possible Opp in Waco for Gulf support",,"3/26/2021",,"F&O","Straightforward",,"OTA",,"NB","3/1/2021","william.glover@i3-corps.com",,"541715",,"Army",,,"9/28/2020",,,,"9/28/2020","3/1/2026","60","$150,000,000",,,,"Protect","2023-02-16T16:50:11Z"
"466",,"CBAT - ASE 22","TADSS","Zepp, Matt","VTSG","no","7/1/2022","SUB","WON","SAIC","$1,000,000.00","$540,000.00","100%","No","8/15/22:  Received contract award from SAIC.
--Money is in hand--",,"8/15/2022","james.zepp@i3-corps.com","Sole Source","Straightforward",,"S3I HWIL Aviation",,"RC","9/1/2022","william.glover@i3-corps.com",,"TBD","Organic","Army",,,"7/1/2022",,,,"7/1/2022","8/31/2024","23","$540,000",,,,"Protect","2023-04-28T14:49:47Z"
"467",,"AVTS MODALITIES (AMTC 20-01-228)","TADSS","Bower, Matt","VTSG","no","5/13/2022","PRIME","WON","i3","$17,900,000.00","$17,900,000.00","75%","No","4/19: FARA may take over this OTA; they are meeting with Todd Richburg presently to discuss details
1/30 - Todd Richburg identifying potential owner for OTA
EWP, SOW, Pricing submitted 5/20
Reworking OTA for RDTE funding.  Will drive Navy work to this contract","5/13/2022","5/2/2023",,"F&O","Straightforward",,"OTA",,"RC","7/31/2023","hannis.watts@i3-corps.com",,"TBD","Formal","Army",,,"5/20/2022",,,,"5/20/2022","7/31/2024","12","$13,425,000",,,,"Expand","2023-05-10T17:13:01Z"
"468",,"PM UH IAC MAC","ESI","Watts, Rick","AELS","no","3/17/2022","SUB","WON","KBR","$100,000,000.00","$1.00","35%","No","i3 was included on the submission as an unpriced sub.  will be a vehicle we can drive work through once KBR wins.
NG joined the KBR team.  SAIC also submitted a bid.","3/17/2022","9/19/2022","hannis.watts@i3-corps.com","F&O","Straightforward","CPFF","IAC MAC",,"NB","9/20/2022","william.glover@i3-corps.com",,"541715",,"Army",,,"4/29/2022",,,"Yes","4/29/2022","9/20/2027","60","$0",,,,"Protect","2023-02-16T16:50:11Z"
"469",,"Prototype Integration Facility PIF","ESI","TBD","SET","no","11/18/2022","SUB","CANCEL","Booz Allen Hamilton","$573,192,000.00","$1.00","10%","No",,,"4/18/2023",,"F&O",,"TASKORDER","AMCOM",,"NB","5/18/2023","william.glover@i3-corps.com",,"336413",,"Army",,,"12/18/2022",,,,,"5/18/2028","60","$0",,,,"Grow","2023-04-28T14:28:27Z"
"470","179884","IBCS LRIP","ESI","Mitchell, Ben","SET","no","1/20/2021","SUB","WON","Northrop Grumman Systems","$1,387,000,000.00","$12,500,000.00","75%","No","The latest--April timeframe for LRIP funding","11/25/2020","12/27/2021",,"F&O","Moderate","SINGLE AWA","STANDALONE",,"RC","10/1/2021","william.glover@i3-corps.com",,"TBD",,"Army",,,"2/15/2021",,,"Yes",,"10/1/2025","48","$9,375,000",,,,"Protect","2023-02-16T16:50:43Z"
"471","N/A","SHIELD Prog - EXPRESS (old CMDS)","ESI","Watts, Rick","SET","no","12/14/2022","SUB","PROPSUB","Digiflight","$60,000,000.00","$3,000,000.00","20%","No","Proposal submitted on Jan 14.","12/7/2022",,"hannis.watts@i3-corps.com","SBSA","Straightforward","T&M","AMCOM","jennifer.stanley@i3-corps.com","NB","5/24/2023","ben.mitchell@i3-corps.com",,"541611","Formal","Army","La Vida Clary Mason ","lavida@digiflight.com","1/16/2023","rachel.paris@i3-corps.com","3/16/2021","Yes","1/14/2023","5/24/2028","60","$600,000","W58SFN-23-R-0051 / 2021P-2","12/7/2022","ben.mitchell@i3-corps.com","Expand","2023-02-22T16:13:13Z"
"472",,"LTPO Technical Spt - EXPRESS","CREWS","Watts, Rick","ITCE","no","5/1/2022","SUB","CANCEL","KBR Wyle Services, LLC","$120,000,000.00","$1,000,000.00","20%","No","not being recompeted. rolled into other contracts (IAC MAC)",,"5/1/2023",,"TBD","Moderate","T&M","AMCOM",,"NB","5/1/2023","william.glover@i3-corps.com",,"541715",,"Army",,,"6/1/2022",,,"No",,"5/1/2028","60","$200,000",,,,"Grow","2023-04-28T14:28:22Z"
"473",,"FLRAA - RS3 (Prog & Log)","ESI","Watts, Rick","AELS","no","8/26/2021","SUB","LOST","Torch Technologies, Inc.","$100,000,000.00","$10,000,000.00","35%","No","Awarded to the Smartronix team (Trident, Brown Technologies).
","7/20/2021","5/23/2022",,"F&O","Moderate","CPFF","RS3",,"NB","3/16/2022","william.glover@i3-corps.com",,"541330",,"Army",,,"8/23/2021",,"6/10/2021","Yes","8/23/2021","3/16/2027","60","$3,500,000",,,,"Grow","2023-04-28T14:40:53Z"
"474",,"UAS Log - EXPRESS (2022L-01)","ESI","Rabb, Kelly","AELS","yes","2/9/2023","SUB","PROPSUB","ATG","$65,000,000.00","$2,500,000.00","75%","No","Expect Award announcement ~30 June","2/9/2023",,"hannis.watts@i3-corps.com","SBSA","Straightforward","T&M","AMCOM","kimberly.green@i3-corps.com","RC","6/14/2023","kelly.rabb@i3-corps.com",,"541614","Formal","Army","Caesar Cantu","caesar.cantu@atg-contracting.com","3/9/2023","katie.elich@i3-corps.com","2/9/2022","Yes",,"6/14/2028","60","$1,875,000","2022L-01","2/13/2023","tracy.leslie@i3-corps.com","Protect","2023-05-24T13:26:00Z"
"475","195595","NASA Aircraft Flight Crew Spt r/c","ESI","Grady, Stephen","AELS","yes","8/1/2023","PRIME","CAPTURE","i3","$45,000,000.00","$45,000,000.00","90%","Yes","RFP is expected to drop by the end of May. 
The first pricing review was completed.  
SB is expected to be required. ",,"6/30/2023",,"F&O","Moderate",,"STANDALONE",,"RC","1/1/2024","william.glover@i3-corps.com",,"488190","Formal","NASA",,,"9/1/2023",,"11/30/2022",,,"1/1/2029","60","$40,500,000",,,,"Protect","2023-07-05T14:32:36Z"
"476",,"Platform Integration 3 (WDI PI2 recompete)","ESI","Mitchell, Ben","SET","yes","6/12/2023","PRIME","CANCEL","i3","$45,000,000.00","$45,000,000.00","90%","Yes","Gov not recompeting.  Tommy Dobson trying to get TDD leaders to change their mind.",,"9/15/2023","hannis.watts@i3-corps.com","SBSA","Difficult","T&M","EXPRESS",,"RC","9/29/2023","ben.mitchell@i3-corps.com",,"541715","Formal","Army",,,"7/17/2023",,,"Planning",,"9/15/2028","59","$40,500,000",,,,"Protect","2023-06-28T22:22:45Z"
"477",,"SAMD Programmatic recompete","ESI","Watts, Rick","AELS","yes","7/14/2023","SUB","NOBID","TCSI","$50,000,000.00","$3,000,000.00","30%","No","Not enough room to team with DigiFlight.  Early discussions with TTGI.",,,,"TBD","Straightforward","T&M","AMCOM",,"RC","12/19/2023","kelly.rabb@i3-corps.com",,"541611","Formal","Army",,,"8/14/2023",,,"No",,"12/19/2028","60","$900,000",,,,"Protect","2023-05-24T13:30:46Z"
"478",,"WDI Tech & Eng - Torch (2018T-03 recompete)","ESI","Mitchell, Ben","SET","no","7/15/2023","SUB","CAPTURE","Torch Technologies, Inc.","$350,000,000.00","$1.00","75%","No","Ben and Jason planning customer visits with Sensors customers for organic opportunities. ",,"1/30/2024","hannis.watts@i3-corps.com","F&O","Moderate","T&M","AMCOM",,"RC","1/30/2024","rachel.paris@i3-corps.com",,"541715","Formal","Army",,,"8/15/2023",,,"Yes",,"1/30/2029","60","$1","2023T-01",,,"Protect","2023-07-06T18:49:56Z"
"479",,"S3I HWIL Aviation (TO1102 Recompete)","TADSS","Rinna, Lee","HST","no","8/19/2020","SUB","WON","SAIC","$500,000,000.00","$55,000,000.00","100%","Yes",,,"1/15/2021",,"F&O","Moderate","TASKORDER","OASIS",,"RC","3/15/2021","william.glover@i3-corps.com",,"541715",,"Army",,,"8/19/2020",,,,,"3/15/2026","60","$55,000,000",,,,"Protect","2023-02-16T16:50:14Z"
"480","217028","NRL TEWS  Tactical EW Simulation - Recompete","CREWS","Howard, Mike","NRL","yes","1/31/2023","PRIME","WON","i3","$24,500,000.00","$24,500,000.00","90%","Yes","Proposal submitted. Anticipating a notification around June / July 2023. 

EN %231: Received on 5/19/2023 and due 5/25/2023. Submitted on 5/24/2023. 
EN %232: Received on 6/7/2023 and due 6/9/2023. Submitted on 6/8/2023.
EN %233: Received on 6/13/2023 and due on 6/13/2023. Submitted on 6/13/2023.
Received Certificate of Current Cost or Pricing Data Request on 6/15/2023 with no due date. Submitted signed copy and sent back on 6/15/2023. 

","1/31/2023","6/30/2023","nathan.mcgee@i3-corps.com","SBSA","Difficult","CPFF","STANDALONE",,"RC","8/29/2023","hannis.watts@i3-corps.com",,"541715","Formal","Navy",,,"3/17/2023","rachel.paris@i3-corps.com","3/31/2022","Yes","3/16/2023","8/29/2028","60","$22,050,000","N00173-23-R-DH01","1/31/2023","michael.howard@i3-corps.com","Protect","2023-06-30T13:58:58Z"
